"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"4967","That ONE Team-OurNextEngineers","183","52.2","1681","1744","16.5","28.2","7.4","0.56","0.45","N/A","N/A","N/A","27-21-0","0.563"
"6081","Digital Dislocators","184","52.2","1681","1744","16.8","27.5","7.9","0.48","0.47","N/A","N/A","N/A","44-19-1","0.695"
"422","The Mech Tech Dragons","185","52.1","1681","1744","13.5","34.4","4.2","0.63","-0.02","2023varr","Rumble in the Roads","9","37-28-0","0.569"
"3339","BumbleB","186","52","1679","1743","13.4","30.7","7.9","0.51","0.45","N/A","N/A","N/A","40-19-0","0.678"
"341","Miss Daisy","187","52","1679","1743","14.6","28.7","8.7","0.43","0.57","N/A","N/A","N/A","42-19-1","0.685"
"3668","TroBots","188","51.9","1678","1742","11.8","32.8","7.3","0.47","0.4","N/A","N/A","N/A","47-15-2","0.750"
"7211","Hollywood","189","51.6","1675","1740","16.9","27.7","7","0.35","0.49","N/A","N/A","N/A","35-22-0","0.614"
"8592","Newton Squared","190","51.6","1675","1740","15.8","30.6","5.2","0.47","0.34","N/A","N/A","N/A","43-20-0","0.683"
"1100","Inverse Polarity","191","51.6","1675","1740","15","26.8","9.9","0.46","0.49","N/A","N/A","N/A","33-20-1","0.620"
"3512","Spartatroniks","192","51.6","1675","1740","11.2","31.5","8.9","0.47","0.55","2023catt","Tidal Tumble","9","14-14-1","0.500"
"4786","Nicolet FEAR","193","51.6","1674","1740","16.6","27.6","7.4","0.41","0.46","N/A","N/A","N/A","23-15-0","0.605"
"1189","The Gearheads","194","51.6","1674","1739","14.7","29.3","7.6","0.28","0.71","N/A","N/A","N/A","42-24-0","0.636"
"6919","The Commodores","195","51.5","1673","1739","11.6","32.5","7.4","0.44","0.28","N/A","N/A","N/A","49-12-0","0.803"
"1676","The Pascack PI-oneers","196","51.5","1673","1739","14.6","29.8","7.1","0.35","0.5","2023njbw","Raritan Valley Science & Technology Showcase","9","40-19-0","0.678"
